"CubeId";"concon"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2017-Q2";"EW";"2.56983789"
"2017-Q2";"VP";"35.11235955"
"2017-Q2";"EP";"41.81606909"
"2017-Q2";"SA";"-63.85907907"
"2017-Q2";"EA";"48.43304843"
"2017-Q2";"VL";"-14.00990009"
"2017-Q2";"EL";"-4.02820912"
"2017-Q2";"ASSS";"43.18302602"
"2017-Q2";"ZA";"-5.88229028"
"2017-Q2";"ESSS";"15.19699812"
"2017-Q2";"AIK";"-8.67360538"
"2017-Q2";"NIK";"-5.3376404"
"2017-Q3";"VW";"9.67184801"
"2017-Q3";"EW";"15.95565975"
"2017-Q3";"VP";"40.42918455"
"2017-Q3";"EP";"43.23383633"
"2017-Q3";"SA";"-63.01571218"
"2017-Q3";"EA";"41.0899654"
"2017-Q3";"VL";"-9.58718805"
"2017-Q3";"EL";"-2.63454386"
"2017-Q3";"ASSS";"47.7341254"
"2017-Q3";"ZA";"-3.43702205"
"2017-Q3";"ESSS";"16.88311688"
"2017-Q3";"AIK";"-2.72143316"
"2017-Q3";"NIK";"0.07422645"
"2017-Q4";"VW";"13.35174954"
"2017-Q4";"EW";"17.73111466"
