"CubeId";"zimoma"
"PublishingDate";"2023-11-01 14:30"

"Date";"D0";"Value"
"2009-03";"3M0";"0.40333"
"2009-03";"SOFR";
"2009-03";"3M1";"1.19188"
"2009-03";"TONA";"0.088"
"2009-03";"3M2";"0.60313"
"2009-03";"SONIA";"0.5027"
"2009-03";"3M3";"1.64875"
"2009-03";"ESTR";
"2009-03";"EURIBOR";"1.51"
"2009-04";"SARON";"0.03359"
"2009-04";"1TGT";"0.05"
"2009-04";"EG3M";"0"
"2009-04";"3M0";"0.40333"
"2009-04";"SOFR";
"2009-04";"3M1";"1.01625"
"2009-04";"TONA";"0.113"
"2009-04";"3M2";"0.54875"
"2009-04";"SONIA";"0.405"
"2009-04";"3M3";"1.45188"
"2009-04";"ESTR";
"2009-04";"EURIBOR";"1.365"
"2009-05";"SARON";"0.034996"
"2009-05";"1TGT";"0.05"
"2009-05";"EG3M";"0"
"2009-05";"3M0";"0.39833"
"2009-05";"SOFR";
"2009-05";"3M1";"0.65625"
"2009-05";"TONA";"0.099"
"2009-05";"3M2";"0.51969"
"2009-05";"SONIA";"0.4301"
"2009-05";"3M3";"1.27813"
"2009-05";"ESTR";
"2009-05";"EURIBOR";"1.269"
"2009-06";"SARON";"0.020048"
"2009-06";"1TGT";"0.05"
"2009-06";"EG3M";"0"
"2009-06";"3M0";"0.395"
"2009-06";"SOFR";
"2009-06";"3M1";"0.595"
"2009-06";"TONA";"0.11"
"2009-06";"3M2";"0.455"
"2009-06";"SONIA";"0.3711"
"2009-06";"3M3";"1.18625"
"2009-06";"ESTR";
"2009-06";"EURIBOR";"1.099"
"2009-07";"SARON";"0.016977"
"2009-07";"1TGT";"0.05"
"2009-07";"EG3M";"0"
"2009-07";"3M0";"0.36"
"2009-07";"SOFR";
"2009-07";"3M1";"0.47938"
"2009-07";"TONA";"0.105"
"2009-07";"3M2";"0.41313"
"2009-07";"SONIA";"0.4178"
"2009-07";"3M3";"0.8875"
"2009-07";"ESTR";
"2009-07";"EURIBOR";"0.893"
"2009-08";"SARON";"0.018446"
"2009-08";"1TGT";"0.05"
"2009-08";"EG3M";"0"
"2009-08";"3M0";"0.31667"
"2009-08";"SOFR";
"2009-08";"3M1";"0.3475"
"2009-08";"TONA";"0.11"
"2009-08";"3M2";"0.39063"
"2009-08";"SONIA";"0.4352"
"2009-08";"3M3";"0.69"
"2009-08";"ESTR";
"2009-08";"EURIBOR";"0.821"
"2009-09";"SARON";"0.024256"
"2009-09";"1TGT";"0.05"
"2009-09";"EG3M";"0"
"2009-09";"3M0";"0.28833"
"2009-09";"SOFR";
"2009-09";"3M1";"0.28688"
"2009-09";"TONA";"0.103"
"2009-09";"3M2";"0.35125"
"2009-09";"SONIA";"0.4203"
